표준산업분류,대분류,중분류,소분류,세분류,세세분류
1110,"농업, 임업 및 어업",농업,작물 재배업,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업
1121,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업
1122,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업
1123,"농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업
1131,"농업, 임업 및 어업",농업,작물 재배업,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업
1132,"농업, 임업 및 어업",농업,작물 재배업,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업
1140,"농업, 임업 및 어업",농업,작물 재배업,기타 작물 재배업,기타 작물 재배업
1151,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,콩나물 재배업
1152,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업"
1159,"농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,기타 시설작물 재배업
1212,"농업, 임업 및 어업",농업,축산업,소 사육업,육우 사육업
1291,"농업, 임업 및 어업",농업,축산업,기타 축산업,말 및 양 사육업
1299,"농업, 임업 및 어업",농업,축산업,기타 축산업,그 외 기타 축산업
1211,"농업, 임업 및 어업",농업,축산업,소 사육업,젖소 사육업
1220,"농업, 임업 및 어업",농업,축산업,양돈업,양돈업
1231,"농업, 임업 및 어업",농업,축산업,가금류 및 조류 사육업,양계업
1239,"농업, 임업 및 어업",농업,축산업,가금류 및 조류 사육업,기타 가금류 및 조류 사육업
1420,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,축산 관련 서비스업,축산 관련 서비스업
1300,"농업, 임업 및 어업",농업,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업
1411,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,작물재배 관련 서비스업,작물재배 지원 서비스업
1412,"농업, 임업 및 어업",농업,작물재배 및 축산 관련 서비스업,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업"
1500,"농업, 임업 및 어업",농업,수렵 및 관련 서비스업,수렵 및 관련 서비스업,수렵 및 관련 서비스업
2011,"농업, 임업 및 어업",임업,임업,영림업,임업용 종묘 생산업
2012,"농업, 임업 및 어업",임업,임업,영림업,육림업
2030,"농업, 임업 및 어업",임업,임업,임산물 채취업,임산물 채취업
2020,"농업, 임업 및 어업",임업,임업,벌목업,벌목업
2040,"농업, 임업 및 어업",임업,임업,임업 관련 서비스업,임업 관련 서비스업
3112,"농업, 임업 및 어업",어업,어로 어업,해수면 어업,연근해 어업
3111,"농업, 임업 및 어업",어업,어로 어업,해수면 어업,원양 어업
3120,"농업, 임업 및 어업",어업,어로 어업,내수면 어업,내수면 어업
3211,"농업, 임업 및 어업",어업,양식어업 및 어업관련 서비스업,양식 어업,해수면 양식 어업
3212,"농업, 임업 및 어업",어업,양식어업 및 어업관련 서비스업,양식 어업,내수면 양식 어업
3213,"농업, 임업 및 어업",어업,양식어업 및 어업관련 서비스업,양식 어업,수산물 부화 및 수산 종자 생산업
3220,"농업, 임업 및 어업",어업,양식어업 및 어업관련 서비스업,어업 관련 서비스업,어업 관련 서비스업
5100,광업,"석탄, 원유 및 천연가스 광업",석탄 광업,석탄 광업,석탄 광업
7290,광업,비금속광물 광업, 연료용 제외,기타 비금속광물 광업,그 외 기타 비금속광물 광업
6100,광업,금속 광업,철 광업,철 광업,철 광업
6200,광업,금속 광업,비철금속 광업,비철금속 광업,비철금속 광업
7121,광업,비금속광물 광업, 연료용 제외,토사석 광업,"석재, 쇄석 및 모래, 자갈 채취업"
7110,광업,비금속광물 광업, 연료용 제외,토사석 광업,석회석 및 점토 광업
7122,광업,비금속광물 광업, 연료용 제외,토사석 광업,"석재, 쇄석 및 모래, 자갈 채취업"
7210,광업,비금속광물 광업, 연료용 제외,기타 비금속광물 광업,화학용 및 비료 원료용 광물 광업
7220,광업,비금속광물 광업, 연료용 제외,기타 비금속광물 광업,천일염 생산 및 암염 채취업
5200,광업,"석탄, 원유 및 천연가스 광업",원유 및 천연가스 채굴업,원유 및 천연가스 채굴업,원유 및 천연가스 채굴업
8000,광업,광업 지원 서비스업,광업 지원 서비스업,광업 지원 서비스업,광업 지원 서비스업
10111,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",도축업,육류 도축업(가금류 제외)
10121,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업
10112,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",도축업,가금류 도축업
10122,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",육류 가공 및 저장 처리업,육류 포장육 및 냉동육 가공업(가금류 제외)
10129,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",육류 가공 및 저장 처리업,육류 기타 가공 및 저장 처리업(가금류 제외)
10212,제조업,식료품 제조업,수산물 가공 및 저장 처리업,수산동물 가공 및 저장 처리업,수산동물 건조 및 염장품 제조업
10211,제조업,식료품 제조업,수산물 가공 및 저장 처리업,수산동물 가공 및 저장 처리업,"수산동물 훈제, 조리 및 유사 조제식품 제조업"
10213,제조업,식료품 제조업,수산물 가공 및 저장 처리업,수산동물 가공 및 저장 처리업,수산동물 냉동품 제조업
10219,제조업,식료품 제조업,수산물 가공 및 저장 처리업,수산동물 가공 및 저장 처리업,기타 수산동물 가공 및 저장 처리업
10301,제조업,식료품 제조업,"과실, 채소 가공 및 저장 처리업","과실, 채소 가공 및 저장 처리업",김치류 제조업
10309,제조업,식료품 제조업,"과실, 채소 가공 및 저장 처리업","과실, 채소 가공 및 저장 처리업",기타 과실ㆍ채소 가공 및 저장 처리업
10302,제조업,식료품 제조업,"과실, 채소 가공 및 저장 처리업","과실, 채소 가공 및 저장 처리업",과실 및 그 외 채소 절임식품 제조업
10402,제조업,식료품 제조업,동물성 및 식물성 유지 제조업,동물성 및 식물성 유지 제조업,식물성 유지 제조업
10401,제조업,식료품 제조업,동물성 및 식물성 유지 제조업,동물성 및 식물성 유지 제조업,동물성 유지 제조업
10403,제조업,식료품 제조업,동물성 및 식물성 유지 제조업,동물성 및 식물성 유지 제조업,식용 정제유 및 가공유 제조업
10501,제조업,식료품 제조업,낙농제품 및 식용 빙과류 제조업,낙농제품 및 식용 빙과류 제조업,액상 시유 및 기타 낙농제품 제조업
10502,제조업,식료품 제조업,낙농제품 및 식용 빙과류 제조업,낙농제품 및 식용 빙과류 제조업,아이스크림 및 기타 식용 빙과류 제조업
10619,제조업,식료품 제조업,"곡물 가공품, 전분 및 전분제품 제조업",곡물 가공품 제조업,기타 곡물 가공품 제조업
10611,제조업,식료품 제조업,"곡물 가공품, 전분 및 전분제품 제조업",곡물 가공품 제조업,곡물 도정업
10612,제조업,식료품 제조업,"곡물 가공품, 전분 및 전분제품 제조업",곡물 가공품 제조업,곡물 제분업
10802,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,단미사료 및 기타 사료 제조업
10620,제조업,식료품 제조업,"곡물 가공품, 전분 및 전분제품 제조업",전분제품 및 당류 제조업,전분제품 및 당류 제조업
10613,제조업,식료품 제조업,"곡물 가공품, 전분 및 전분제품 제조업",곡물 가공품 제조업,곡물 혼합 분말 및 반죽 제조업
10751,제조업,식료품 제조업,기타 식품 제조업,도시락 및 식사용 조리식품 제조업,도시락류 제조업
10801,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,배합 사료 제조업
10711,제조업,식료품 제조업,기타 식품 제조업,"떡, 빵 및 과자류 제조업",떡류 제조업
10713,제조업,식료품 제조업,기타 식품 제조업,"떡, 빵 및 과자류 제조업",과자류 및 코코아 제품 제조업
10759,제조업,식료품 제조업,기타 식품 제조업,도시락 및 식사용 조리식품 제조업,기타 식사용 가공처리 조리식품 제조업
10712,제조업,식료품 제조업,기타 식품 제조업,"떡, 빵 및 과자류 제조업",빵류 제조업
10720,제조업,식료품 제조업,기타 식품 제조업,설탕 제조업,설탕 제조업
10730,제조업,식료품 제조업,기타 식품 제조업,"면류, 마카로니 및 유사 식품 제조업","면류, 마카로니 및 유사 식품 제조업"
10742,제조업,식료품 제조업,기타 식품 제조업,조미료 및 식품 첨가물 제조업,천연 및 혼합 조제 조미료 제조업
10743,제조업,식료품 제조업,기타 식품 제조업,조미료 및 식품 첨가물 제조업,장류 제조업
10741,제조업,식료품 제조업,기타 식품 제조업,조미료 및 식품 첨가물 제조업,"식초, 발효 및 화학 조미료 제조업"
10749,제조업,식료품 제조업,기타 식품 제조업,조미료 및 식품 첨가물 제조업,기타 식품 첨가물 제조업
10220,제조업,식료품 제조업,수산물 가공 및 저장 처리업,수산식물 가공 및 저장 처리업,수산식물 가공 및 저장 처리업
10796,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,건강 보조용 액화식품 제조업
10791,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,커피 가공업
10794,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,두부 및 유사 식품 제조업
10792,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,차류 가공업
10795,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,인삼식품 제조업
10793,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,수프 및 균질화식품 제조업
10797,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,건강 기능식품 제조업
10799,제조업,식료품 제조업,기타 식품 제조업,기타 식료품 제조업,그 외 기타 식료품 제조업
11121,제조업,음료 제조업,알코올 음료 제조업,증류주 및 합성주 제조업,주정 제조업
11122,제조업,음료 제조업,알코올 음료 제조업,증류주 및 합성주 제조업,소주 제조업
11129,제조업,음료 제조업,알코올 음료 제조업,증류주 및 합성주 제조업,기타 증류주 및 합성주 제조업
11111,제조업,음료 제조업,알코올 음료 제조업,발효주 제조업,탁주 및 약주 제조업
11119,제조업,음료 제조업,알코올 음료 제조업,발효주 제조업,기타 발효주 제조업
11112,제조업,음료 제조업,알코올 음료 제조업,발효주 제조업,맥아 및 맥주 제조업
11209,제조업,음료 제조업,비알코올 음료 및 얼음 제조업,비알코올 음료 및 얼음 제조업,기타 비알코올 음료 제조업
11202,제조업,음료 제조업,비알코올 음료 및 얼음 제조업,비알코올 음료 및 얼음 제조업,생수 생산업
11201,제조업,음료 제조업,비알코올 음료 및 얼음 제조업,비알코올 음료 및 얼음 제조업,얼음 제조업
12000,제조업,담배 제조업,담배 제조업,담배 제조업,담배제품 제조업
13103,제조업,섬유제품 제조업, 의복 제외,방적 및 가공사 제조업,방적 및 가공사 제조업
13101,제조업,섬유제품 제조업, 의복 제외,방적 및 가공사 제조업,방적 및 가공사 제조업
13102,제조업,섬유제품 제조업, 의복 제외,방적 및 가공사 제조업,방적 및 가공사 제조업
13104,제조업,섬유제품 제조업, 의복 제외,방적 및 가공사 제조업,방적 및 가공사 제조업
13213,제조업,섬유제품 제조업, 의복 제외,직물 직조 및 직물제품 제조업,직물 직조업
13109,제조업,섬유제품 제조업, 의복 제외,방적 및 가공사 제조업,방적 및 가공사 제조업
13212,제조업,섬유제품 제조업, 의복 제외,직물 직조 및 직물제품 제조업,직물 직조업
13211,제조업,섬유제품 제조업, 의복 제외,직물 직조 및 직물제품 제조업,직물 직조업
13219,제조업,섬유제품 제조업, 의복 제외,직물 직조 및 직물제품 제조업,직물 직조업
13402,제조업,섬유제품 제조업, 의복 제외,"섬유제품 염색, 정리 및 마무리 가공업","섬유제품 염색, 정리 및 마무리 가공업"
13401,제조업,섬유제품 제조업, 의복 제외,"섬유제품 염색, 정리 및 마무리 가공업","섬유제품 염색, 정리 및 마무리 가공업"
13403,제조업,섬유제품 제조업, 의복 제외,"섬유제품 염색, 정리 및 마무리 가공업","섬유제품 염색, 정리 및 마무리 가공업"
13409,제조업,섬유제품 제조업, 의복 제외,"섬유제품 염색, 정리 및 마무리 가공업","섬유제품 염색, 정리 및 마무리 가공업"
13221,제조업,섬유제품 제조업, 의복 제외,직물 직조 및 직물제품 제조업,직물제품 제조업
13222,제조업,섬유제품 제조업, 의복 제외,직물 직조 및 직물제품 제조업,직물제품 제조업
13224,제조업,섬유제품 제조업, 의복 제외,직물 직조 및 직물제품 제조업,직물제품 제조업
13223,제조업,섬유제품 제조업, 의복 제외,직물 직조 및 직물제품 제조업,직물제품 제조업
13225,제조업,섬유제품 제조업, 의복 제외,직물 직조 및 직물제품 제조업,직물제품 제조업
30393,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 기타 신품 부품 제조업,자동차용 신품 의자 제조업
13229,제조업,섬유제품 제조업, 의복 제외,직물 직조 및 직물제품 제조업,직물제품 제조업
13910,제조업,섬유제품 제조업, 의복 제외,기타 섬유제품 제조업,"카펫, 마루덮개 및 유사 제품 제조업"
13922,제조업,섬유제품 제조업, 의복 제외,기타 섬유제품 제조업,"끈, 로프, 망 및 끈 가공품 제조업"
13921,제조업,섬유제품 제조업, 의복 제외,기타 섬유제품 제조업,"끈, 로프, 망 및 끈 가공품 제조업"
13991,제조업,섬유제품 제조업, 의복 제외,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업
13999,제조업,섬유제품 제조업, 의복 제외,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업
13992,제조업,섬유제품 제조업, 의복 제외,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업
13993,제조업,섬유제품 제조업, 의복 제외,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업
13994,제조업,섬유제품 제조업, 의복 제외,기타 섬유제품 제조업,그 외 기타 섬유제품 제조업
14300,제조업,"의복, 의복 액세서리 및 모피제품 제조업",편조의복 제조업,편조의복 제조업,편조의복 제조업
13300,제조업,섬유제품 제조업, 의복 제외,편조 원단 제조업,편조 원단 제조업
14411,제조업,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,편조 의복 액세서리 제조업,스타킹 및 기타양말 제조업
14419,제조업,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,편조 의복 액세서리 제조업,기타 편조 의복 액세서리 제조업
14111,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,남자용 겉옷 제조업
14130,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,한복 제조업,한복 제조업
14112,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,여자용 겉옷 제조업
14191,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,셔츠 및 블라우스 제조업
14192,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,"근무복, 작업복 및 유사 의복 제조업"
14193,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,가죽의복 제조업
14491,제조업,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,기타 의복 액세서리 제조업,모자 제조업
14120,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,속옷 및 잠옷 제조업,속옷 및 잠옷 제조업
14499,제조업,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,기타 의복 액세서리 제조업,그 외 기타 의복 액세서리 제조업
14194,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,유아용 의복 제조업
14199,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,그 외 기타 봉제의복 제조업
14200,제조업,"의복, 의복 액세서리 및 모피제품 제조업",모피제품 제조업,모피제품 제조업,모피제품 제조업
15110,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사 제품 제조업",모피 및 가죽 제조업,모피 및 가죽 제조업
15129,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사 제품 제조업","핸드백, 가방 및 기타 보호용 케이스 제조업",가방 및 기타 보호용 케이스 제조업
15190,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사 제품 제조업",기타 가죽제품 제조업,기타 가죽제품 제조업
15121,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사 제품 제조업","핸드백, 가방 및 기타 보호용 케이스 제조업",핸드백 및 지갑 제조업
15211,제조업,"가죽, 가방 및 신발 제조업",신발 및 신발 부분품 제조업,신발 제조업,구두류 제조업
15219,제조업,"가죽, 가방 및 신발 제조업",신발 및 신발 부분품 제조업,신발 제조업,기타 신발 제조업
15220,제조업,"가죽, 가방 및 신발 제조업",신발 및 신발 부분품 제조업,신발 부분품 제조업,신발 부분품 제조업
16101,제조업,목재 및 나무제품 제조업, 가구 제외,제재 및 목재 가공업,제재 및 목재 가공업
16103,제조업,목재 및 나무제품 제조업, 가구 제외,제재 및 목재 가공업,제재 및 목재 가공업
16102,제조업,목재 및 나무제품 제조업, 가구 제외,제재 및 목재 가공업,제재 및 목재 가공업
16212,제조업,목재 및 나무제품 제조업, 가구 제외,나무제품 제조업,"박판, 합판 및 강화 목제품 제조업"
16211,제조업,목재 및 나무제품 제조업, 가구 제외,나무제품 제조업,"박판, 합판 및 강화 목제품 제조업"
16229,제조업,목재 및 나무제품 제조업, 가구 제외,나무제품 제조업,건축용 나무제품 제조업
16232,제조업,목재 및 나무제품 제조업, 가구 제외,나무제품 제조업,"목재 상자, 드럼 및 적재판 제조업"
16221,제조업,목재 및 나무제품 제조업, 가구 제외,나무제품 제조업,건축용 나무제품 제조업
16231,제조업,목재 및 나무제품 제조업, 가구 제외,나무제품 제조업,"목재 상자, 드럼 및 적재판 제조업"
16291,제조업,목재 및 나무제품 제조업, 가구 제외,나무제품 제조업,기타 나무제품 제조업
16292,제조업,목재 및 나무제품 제조업, 가구 제외,나무제품 제조업,기타 나무제품 제조업
16300,제조업,목재 및 나무제품 제조업, 가구 제외,코르크 및 조물 제품 제조업,코르크 및 조물 제품 제조업
16299,제조업,목재 및 나무제품 제조업, 가구 제외,나무제품 제조업,기타 나무제품 제조업
17121,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,신문용지 제조업
17124,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,"적층, 합성 및 특수 표면처리 종이 제조업"
17129,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,기타 종이 및 판지 제조업
17110,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",펄프 제조업,펄프 제조업
17122,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,인쇄용 및 필기용 원지 제조업
17125,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,위생용 원지 제조업
17123,제조업,"펄프, 종이 및 종이제품 제조업","펄프, 종이 및 판지 제조업",종이 및 판지 제조업,크라프트지 및 상자용 판지 제조업
17211,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업",골판지 및 골판지 가공제품 제조업,골판지 제조업
17222,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업","종이 포대, 판지 상자 및 종이 용기 제조업",판지 상자 및 용기 제조업
17212,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업",골판지 및 골판지 가공제품 제조업,골판지 상자 및 가공제품 제조업
17221,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업","종이 포대, 판지 상자 및 종이 용기 제조업",종이 포대 및 가방 제조업
17223,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업","종이 포대, 판지 상자 및 종이 용기 제조업",식품 위생용 종이 상자 및 용기 제조업
17229,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업","종이 포대, 판지 상자 및 종이 용기 제조업",기타 종이 상자 및 용기 제조업
17909,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,기타 종이 및 판지 제품 제조업,그 외 기타 종이 및 판지 제품 제조업
17901,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,기타 종이 및 판지 제품 제조업,문구용 종이제품 제조업
17903,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,기타 종이 및 판지 제품 제조업,벽지 및 장판지 제조업
17902,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,기타 종이 및 판지 제품 제조업,위생용 종이제품 제조업
18111,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄업,경 인쇄업
18112,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄업,스크린 인쇄업
18113,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄업,오프셋 인쇄업
18119,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄업,기타 인쇄업
18122,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄관련 산업,제책업
18129,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄관련 산업,기타 인쇄관련 산업
18121,제조업,인쇄 및 기록매체 복제업,인쇄 및 인쇄관련 산업,인쇄관련 산업,제판 및 조판업
18200,제조업,인쇄 및 기록매체 복제업,기록매체 복제업,기록매체 복제업,기록매체 복제업
19101,제조업,"코크스, 연탄 및 석유정제품 제조업",코크스 및 연탄 제조업,코크스 및 연탄 제조업,코크스 및 관련제품 제조업
19102,제조업,"코크스, 연탄 및 석유정제품 제조업",코크스 및 연탄 제조업,코크스 및 연탄 제조업,연탄 및 기타 석탄 가공품 제조업
19210,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,원유 정제처리업,원유 정제처리업
20129,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기초 화학물질 제조업,기초 무기화학 물질 제조업
19221,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,석유 정제물 재처리업,윤활유 및 그리스 제조업
19229,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,석유 정제물 재처리업,기타 석유 정제물 재처리업
20121,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기초 화학물질 제조업,기초 무기화학 물질 제조업
20119,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기초 화학물질 제조업,기초 유기화학 물질 제조업
20131,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기초 화학물질 제조업,"무기 안료, 염료, 유연제 및 기타 착색제 제조업"
20111,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기초 화학물질 제조업,기초 유기화학 물질 제조업
20112,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기초 화학물질 제조업,기초 유기화학 물질 제조업
20132,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기초 화학물질 제조업,"무기 안료, 염료, 유연제 및 기타 착색제 제조업"
20312,제조업,화학물질 및 화학제품 제조업, 의약품 제외,"비료, 농약 및 살균ㆍ살충제 제조업",비료 및 질소 화합물 제조업
20311,제조업,화학물질 및 화학제품 제조업, 의약품 제외,"비료, 농약 및 살균ㆍ살충제 제조업",비료 및 질소 화합물 제조업
20313,제조업,화학물질 및 화학제품 제조업, 의약품 제외,"비료, 농약 및 살균ㆍ살충제 제조업",비료 및 질소 화합물 제조업
20201,제조업,화학물질 및 화학제품 제조업, 의약품 제외,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업
20202,제조업,화학물질 및 화학제품 제조업, 의약품 제외,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업
20203,제조업,화학물질 및 화학제품 제조업, 의약품 제외,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업
20321,제조업,화학물질 및 화학제품 제조업, 의약품 제외,"비료, 농약 및 살균ㆍ살충제 제조업",살균ㆍ살충제 및 농약 제조업
20322,제조업,화학물질 및 화학제품 제조업, 의약품 제외,"비료, 농약 및 살균ㆍ살충제 제조업",살균ㆍ살충제 및 농약 제조업
20413,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,"잉크, 페인트, 코팅제 및 유사제품 제조업"
20411,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,"잉크, 페인트, 코팅제 및 유사제품 제조업"
20412,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,"잉크, 페인트, 코팅제 및 유사제품 제조업"
21210,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,완제 의약품 제조업
21220,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,한의약품 제조업,한의약품 제조업
21101,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 및 생물학적 제제 제조업,기초 의약 물질 및 생물학적 제제 제조업,의약용 화합물 및 항생물질 제조업
21230,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,동물용 의약품 제조업,동물용 의약품 제조업
21102,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 및 생물학적 제제 제조업,기초 의약 물질 및 생물학적 제제 제조업,생물학적 제제 제조업
21300,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업
20422,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업"
20423,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업"
20421,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업"
20424,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업"
20493,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업
26600,제조업,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",마그네틱 및 광학 매체 제조업,마그네틱 및 광학 매체 제조업,마그네틱 및 광학 매체 제조업
20499,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업
20492,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업
20491,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업
20494,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업
20495,제조업,화학물질 및 화학제품 제조업, 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업
20501,제조업,화학물질 및 화학제품 제조업, 의약품 제외,화학섬유 제조업,화학섬유 제조업
20502,제조업,화학물질 및 화학제품 제조업, 의약품 제외,화학섬유 제조업,화학섬유 제조업
22111,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,고무 타이어 및 튜브 생산업,타이어 및 튜브 제조업
22112,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,고무 타이어 및 튜브 생산업,타이어 재생업
22192,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,기타 고무제품 제조업,산업용 그 외 비경화 고무제품 제조업
